"","STUDENT.IDENTIFIER","STDNT_AGE","STDNT_GENDER","STDNT_BACKGROUND","IN_STATE_FLAG","INTERNATIONAL_STS","STDNT_TEST_ENTRANCE_COMB","FIRST_TERM","CORE_COURSE_GRADE_1_F","CORE_COURSE_GRADE_2_F","CORE_COURSE_GRADE_3_F","SECOND_TERM","CORE_COURSE_GRADE_1_S","CORE_COURSE_GRADE_2_S","HOUSING_STS","RETURNED_2ND_YR","DISTANCE_FROM_HOME","HIGH_SCHL_GPA","FATHER_HI_EDU_DESC","MOTHER_HI_EDU_DESC","DEGREE_GROUP_DESC","FIRST_TERM_ATTEMPT_HRS","FIRST_TERM_EARNED_HRS","SECOND_TERM_ATTEMPT_HRS","SECOND_TERM_EARNED_HRS","GROSS_FIN_NEED","COST_OF_ATTEND","EST_FAM_CONTRIBUTION","UNMET_NEED","FIRST_TERM_HRS_PERCENTAGE","SECOND_TERM_HRS_PERCENTAGE"
"1733",7915139,"low","F","BGD LOW","N","Y",990,201008,"High","High","High",201102,"Mid","High","Off Campus","0",0,"high","High School","Middle School/Junior High","Bachelors","mid","high","high","high","low","low","low","low",1,1
"1734",7935019,"mid","F","BGD HIGH","Y","N",1110,200908,"High","High","High",201002,"Mid","High","Off Campus","1",69,"mid","College/Beyond","Middle School/Junior High","Bachelors","mid","mid","high","high","high","high","low","mid",1,0.647058823529412
"1735",7867139,"mid","F","BGD HIGH","N","N",870,200908,"High","High","High",201002,"Mid","High","Off Campus","1",69,"mid","Middle School/Junior High","College/Beyond","Bachelors","mid","high","high","high","high","high","low","high",1,0.588235294117647
"1736",7832264,"mid","M","BGD HIGH","Y","N",990,200608,"High","High","High",200702,"Mid","High","On Campus","0",138,"mid","Other/Unknown","College/Beyond","Bachelors","high","high","high","high","mid","mid","mid","mid",1,1
"1737",7792545,"mid","M","BGD HIGH","Y","N",910,200808,"High","High","High",200902,"Mid","High","Off Campus","1",69,"high","High School","Middle School/Junior High","Bachelors","mid","mid","high","high","low","low","low","low",0.692307692307692,0.75
"1738",7979677,"mid","M","BGD HIGH","Y","N",1190,200908,"High","High","High",201002,"Mid","High","Off Campus","1",69,"high","High School","High School","Bachelors","high","high","high","high","high","high","low","mid",1,1
"1739",7917144,"low","F","BGD MID","Y","N",870,201008,"High","High","High",201102,"Mid","High","On Campus","0",150,"high","College/Beyond","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"1740",7818307,"mid","F","BGD HIGH","Y","N",970,200508,"High","High","High",200602,"Mid","High","On Campus","1",69,"low","High School","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"1741",7944343,"mid","F","BGD HIGH","Y","N",970,200608,"High","High","High",200702,"Mid","High","Off Campus","0",69,"high","High School","High School","Bachelors","mid","high","high","high","low","low","low","low",1,0.714285714285714
"1742",7785605,"mid","F","BGD HIGH","Y","N",950,200708,"High","High","Mid",200802,"Mid","High","Off Campus","1",69,"low","High School","High School","Bachelors","mid","low","high","mid","low","low","low","low",0.428571428571429,0.666666666666667
"1743",7789942,"mid","M","BGD HIGH","Y","N",1260,200808,"High","High","High",200902,"Mid","High","Off Campus","1",90,"high","Other/Unknown","College/Beyond","Bachelors","low","mid","high","high","low","mid","mid","low",1,0.75
"1744",7922436,"mid","F","BGD MID","Y","N",910,200908,"High","High","High",201002,"Mid","High","On Campus","1",138,"high","High School","College/Beyond","Bachelors","mid","high","high","high","mid","high","mid","mid",1,0.785714285714286
"1745",7760225,"mid","F","BGD MID","Y","N",1110,200908,"High","High","High",201002,"Mid","High","On Campus","1",0,"mid","College/Beyond","High School","Bachelors","mid","high","high","high","high","high","low","high",1,1
"1746",7968225,"mid","M","BGD MID","Y","N",970,200908,"High","High","High",201002,"Mid","High","Off Campus","1",69,"low","No Information","No Information","Bachelors","mid","high","high","high","low","mid","low","low",1,1
"1747",7858625,"mid","M","BGD HIGH","Y","N",1190,200908,"High","High","High",201002,"Mid","High","On Campus","1",0,"low","College/Beyond","College/Beyond","Bachelors","high","high","high","high","low","mid","high","low",1,0.8125
"1748",7849152,"mid","M","BGD HIGH","Y","N",1030,200708,"High","High","High",200802,"Mid","High","Off Campus","1",69,"mid","No Information","No Information","Bachelors","high","high","high","high","low","mid","low","low",0.941176470588235,0.733333333333333
"1749",7882072,"mid","M","BGD HIGH","Y","N",1110,200908,"High","High","High",201002,"Mid","High","On Campus","1",150,"high","College/Beyond","High School","Bachelors","mid","high","high","high","mid","high","mid","mid",1,1
"1750",7814299,"low","F","BGD MID","Y","N",970,200808,"Mid","High","High",200902,"Mid","High","On Campus","1",138,"high","No Information","No Information","Bachelors","mid","high","high","high","low","low","low","low",1,1
"1751",7821550,"mid","F","BGD MID","Y","N",830,200908,"Mid","High","High",201002,"Mid","High","On Campus","0",137,"mid","High School","High School","Bachelors","mid","high","high","high","high","high","low","mid",1,1
"1752",7886761,"mid","F","BGD HIGH","Y","N",990,200808,"Mid","High","High",200902,"Mid","High","Off Campus","1",0,"low","College/Beyond","Other/Unknown","Bachelors","mid","mid","high","high","low","low","low","low",0.866666666666667,0.5625
"1753",8027754,"low","F","BGD MID","Y","N",990,200908,"Mid","High","High",201002,"Mid","High","On Campus","1",91,"high","High School","High School","Bachelors","high","high","high","high","high","high","low","mid",1,0.8
"1754",7813938,"mid","M","BGD HIGH","N","N",1190,200908,"Mid","High","Mid",201002,"Mid","High","Off Campus","1",0,"low","College/Beyond","High School","Bachelors","mid","high","high","high","low","low","low","low",0.933333333333333,0.789473684210526
"1755",7954066,"mid","F","BGD HIGH","Y","N",970,200508,"Mid","High","High",200602,"Mid","High","Off Campus","1",69,"high","High School","College/Beyond","Bachelors","low","mid","high","high","mid","high","mid","mid",1,1
"1756",7847783,"mid","M","BGD HIGH","Y","N",1030,200908,"Mid","High","Mid",201002,"Mid","High","On Campus","1",150,"high","High School","High School","Bachelors","mid","mid","high","mid","high","high","low","mid",0.642857142857143,0.461538461538462
"1757",7768110,"mid","F","BGD MID","N","N",950,200508,"Mid","High","High",200602,"Mid","High","On Campus","0",176,"low","College/Beyond","College/Beyond","Bachelors","low","mid","high","high","low","low","low","low",1,1
"1758",7930650,"mid","F","BGD MID","Y","N",950,200608,"Mid","High","Mid",200702,"Mid","High","On Campus","0",176,"mid","High School","High School","Bachelors","mid","mid","high","high","mid","mid","low","mid",0.714285714285714,1
"1759",8029059,"mid","F","BGD HIGH","Y","N",990,200708,"Mid","High","Mid",200802,"Mid","High","Off Campus","1",69,"mid","Other/Unknown","No Information","Bachelors","low","mid","high","high","mid","mid","mid","mid",1,0.5625
"1760",7820327,"mid","M","BGD HIGH","Y","N",790,200708,"Mid","High","High",200802,"Mid","High","Off Campus","1",69,"low","College/Beyond","High School","Bachelors","low","mid","high","high","low","low","low","low",1,0.75
"1761",7968966,"mid","F","BGD HIGH","Y","N",1030,200908,"Mid","High","High",201002,"Mid","High","Off Campus","0",69,"mid","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","high","high","low","mid",1,1
"1762",7962080,"mid","M","BGD MID","Y","N",1110,200908,"Mid","High","High",201002,"Mid","High","Off Campus","1",69,"mid","College/Beyond","College/Beyond","Bachelors","low","mid","high","high","high","high","low","mid",1,0.692307692307692
"1763",7942236,"mid","F","BGD HIGH","Y","N",910,200908,"Mid","High","High",201002,"Mid","High","Off Campus","1",69,"low","College/Beyond","High School","Bachelors","mid","mid","high","mid","high","high","low","mid",1,0.5
"1764",7875768,"mid","M","BGD HIGH","Y","N",950,200508,"Mid","High","High",200602,"Mid","High","On Campus","1",90,"low","High School","High School","Bachelors","mid","mid","high","mid","mid","mid","mid","mid",0.928571428571429,0.666666666666667
"1765",7802328,"mid","M","BGD HIGH","Y","N",1110,201008,"Mid","High","High",201102,"Mid","High","Off Campus","0",2221,"mid","No Information","No Information","Bachelors","high","mid","high","high","low","low","low","low",0.764705882352941,1
"1766",7773897,"mid","F","BGD HIGH","N","N",1030,200808,"Mid","High","High",200902,"Mid","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","low","mid","high","high","low","low","high","low",1,0.769230769230769
"1767",7761443,"low","F","BGD HIGH","Y","N",990,200708,"Mid","High","High",200802,"Mid","High","Off Campus","1",69,"mid","High School","College/Beyond","Bachelors","mid","mid","high","high","low","low","low","low",0.692307692307692,0.8
