"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"175",1,"SCHOOL 304",2,2,1,"HIGH_SCHL_NAME"
"176",1,"SCHOOL 308",3,3,1,"HIGH_SCHL_NAME"
"177",1,"SCHOOL 31",9,10,0.9,"HIGH_SCHL_NAME"
"178",1,"SCHOOL 310",6,7,0.857142857142857,"HIGH_SCHL_NAME"
"179",1,"SCHOOL 311",1,1,1,"HIGH_SCHL_NAME"
"180",1,"SCHOOL 312",3,3,1,"HIGH_SCHL_NAME"
"181",1,"SCHOOL 313",1,1,1,"HIGH_SCHL_NAME"
"182",1,"SCHOOL 314",1,1,1,"HIGH_SCHL_NAME"
"183",1,"SCHOOL 315",6,9,0.666666666666667,"HIGH_SCHL_NAME"
"184",1,"SCHOOL 316",4,4,1,"HIGH_SCHL_NAME"
"185",1,"SCHOOL 317",8,8,1,"HIGH_SCHL_NAME"
"186",1,"SCHOOL 318",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"187",1,"SCHOOL 319",8,9,0.888888888888889,"HIGH_SCHL_NAME"
"188",1,"SCHOOL 32",1,1,1,"HIGH_SCHL_NAME"
"189",1,"SCHOOL 320",1,1,1,"HIGH_SCHL_NAME"
"190",1,"SCHOOL 321",1,1,1,"HIGH_SCHL_NAME"
"191",1,"SCHOOL 322",1,2,0.5,"HIGH_SCHL_NAME"
"192",1,"SCHOOL 324",1,1,1,"HIGH_SCHL_NAME"
"193",1,"SCHOOL 325",7,9,0.777777777777778,"HIGH_SCHL_NAME"
"194",1,"SCHOOL 326",5,6,0.833333333333333,"HIGH_SCHL_NAME"
"195",1,"SCHOOL 327",6,6,1,"HIGH_SCHL_NAME"
"196",1,"SCHOOL 329",1,1,1,"HIGH_SCHL_NAME"
"197",1,"SCHOOL 33",17,20,0.85,"HIGH_SCHL_NAME"
"198",1,"SCHOOL 332",2,2,1,"HIGH_SCHL_NAME"
"199",1,"SCHOOL 333",7,7,1,"HIGH_SCHL_NAME"
